o_d,cluster
USACAN,1
USACHE,1
USACHL,1
PRTEGY,2
USACOL,1
USACZE,1
USADEU,1
USADNK,1
USADOM,1
PRTIND,2
USAECU,1
PRTIRN,2
USAESP,1
USAFIN,1
USAFRA,1
USAGBR,1
USAGRC,1
USAGTM,1
USAIDN,1
PRTIRQ,2
USAIRL,1
PRTLBY,2
PRTMAR,2
USAISR,1
USAITA,1
USAJPN,1
USAKOR,1
PRTMYS,2
PRTPAK,2
USAMEX,1
PRTPHL,2
USANGA,1
USANLD,1
USANOR,1
USANZL,1
PRTRUS,2
USAPER,1
PRTSAU,2
USAPOL,1
USAPRT,1
PRTSDN,2
PRTSGP,2
PRTTHA,2
PRTTUR,2
USASVK,1
USASWE,1
PRTVEN,2
PRTVNM,2
USAUKR,1
USAUSA,1
SVKBGD,2
SVKCHN,2
USAZAF,1
SVKDZA,2
SVKEGY,2
SVKIND,2
SVKIRN,2
VENBGD,4
SVKIRQ,2
SVKLBY,2
SVKMAR,2
SVKMYS,2
VENCHN,4
SVKPAK,2
SVKPHL,2
SVKRUS,2
SVKSAU,2
SVKSDN,2
VENDZA,4
SVKSGP,2
VENEGY,4
SVKTHA,2
SVKTUR,2
SVKVEN,2
SVKVNM,2
SWEBGD,2
SWECHN,2
SWEDZA,2
VENIND,4
SWEEGY,2
VENIRN,4
VENIRQ,4
SWEIND,2
SWEIRN,2
SWEIRQ,2
SWELBY,2
VENLBY,4
VENMAR,4
SWEMAR,2
VENMYS,4
SWEMYS,2
SWEPAK,2
SWEPHL,2
SWERUS,2
VENPAK,4
SWESAU,2
VENPHL,4
SWESDN,2
SWESGP,2
VENRUS,4
VENSAU,4
VENSDN,4
VENSGP,4
SWETHA,2
SWETUR,2
VENTHA,4
VENTUR,4
SWEVEN,2
SWEVNM,2
VENVEN,4
VENVNM,4
UKRBGD,2
UKRCHN,2
UKRDZA,2
UKREGY,2
UKRIND,2
VNMBGD,4
UKRIRN,2
UKRIRQ,2
UKRLBY,2
UKRMAR,2
VNMCHN,4
UKRMYS,2
UKRPAK,2
UKRPHL,2
UKRRUS,2
UKRSAU,2
VNMDZA,4
UKRSDN,2
VNMEGY,4
UKRSGP,2
UKRTHA,2
UKRTUR,2
UKRVEN,2
UKRVNM,2
USABGD,2
USACHN,2
VNMIND,4
USADZA,2
VNMIRN,4
VNMIRQ,4
USAEGY,2
USAIND,2
USAIRN,2
USAIRQ,2
VNMLBY,4
VNMMAR,4
USALBY,2
VNMMYS,4
USAMAR,2
USAMYS,2
USAPAK,2
USAPHL,2
VNMPAK,4
USARUS,2
VNMPHL,4
USASAU,2
USASDN,2
VNMRUS,4
VNMSAU,4
VNMSDN,4
VNMSGP,4
USASGP,2
USATHA,2
VNMTHA,4
VNMTUR,4
USATUR,2
USAVEN,2
VNMVEN,4
VNMVNM,4
USAVNM,2
ZAFARG,1
ZAFAUS,1
ZAFAUT,1
ZAFBEL,1
ZAFBGD,2
ZAFBRA,1
ZAFCAN,1
ZAFCHE,1
ZAFCHL,1
ZAFCHN,2
ZAFCOL,1
ZAFCZE,1
ZAFDEU,1
ZAFDNK,1
ZAFDOM,1
ZAFDZA,2
ZAFECU,1
ZAFEGY,2
ZAFESP,1
ZAFFIN,1
ZAFFRA,1
ZAFGBR,1
ZAFGRC,1
ZAFGTM,1
ZAFIDN,1
ZAFIND,2
ZAFIRL,1
ZAFIRN,2
ZAFIRQ,2
ZAFISR,1
ZAFITA,1
ZAFJPN,1
ZAFKOR,1
ZAFLBY,2
ZAFMAR,2
ZAFMEX,1
ZAFMYS,2
ZAFNGA,1
ZAFNLD,1
ZAFNOR,1
ZAFNZL,1
ZAFPAK,2
ZAFPER,1
ZAFPHL,2
ZAFPOL,1
ZAFPRT,1
ZAFRUS,2
ZAFSAU,2
ZAFSDN,2
ZAFSGP,2
ZAFSVK,1
ZAFSWE,1
ZAFTHA,2
ZAFTUR,2
ZAFUKR,1
ZAFUSA,1
ZAFVEN,2
ZAFVNM,2
ZAFZAF,1
