o_d,cluster
CHNTHA,4
CHNTUR,4
IRQAUS,3
IRQAUT,3
CHNVEN,4
CHNVNM,4
IRQBEL,3
COLARG,1
COLAUS,1
COLAUT,1
COLBEL,1
IRQBRA,3
COLBRA,1
COLCAN,1
COLCHE,1
COLCHL,1
IRQCAN,3
COLCOL,1
COLCZE,1
COLDEU,1
COLDNK,1
COLDOM,1
IRQCHE,3
COLECU,1
IRQCHL,3
COLESP,1
COLFIN,1
COLFRA,1
COLGBR,1
COLGRC,1
COLGTM,1
COLIDN,1
IRQCOL,3
COLIRL,1
IRQCZE,3
IRQDEU,3
COLISR,1
COLITA,1
COLJPN,1
COLKOR,1
IRQDNK,3
IRQDOM,3
COLMEX,1
IRQECU,3
COLNGA,1
COLNLD,1
COLNOR,1
COLNZL,1
IRQESP,3
COLPER,1
IRQFIN,3
COLPOL,1
COLPRT,1
IRQFRA,3
IRQGBR,3
IRQGRC,3
IRQGTM,3
COLSVK,1
COLSWE,1
IRQIDN,3
IRQIRL,3
COLUKR,1
COLUSA,1
IRQISR,3
IRQITA,3
COLZAF,1
CZEARG,1
CZEAUS,1
CZEAUT,1
CZEBEL,1
IRQJPN,3
CZEBRA,1
CZECAN,1
CZECHE,1
CZECHL,1
IRQKOR,3
CZECOL,1
CZECZE,1
CZEDEU,1
CZEDNK,1
CZEDOM,1
IRQMEX,3
CZEECU,1
IRQNGA,3
CZEESP,1
CZEFIN,1
CZEFRA,1
CZEGBR,1
CZEGRC,1
CZEGTM,1
CZEIDN,1
IRQNLD,3
CZEIRL,1
IRQNOR,3
IRQNZL,3
CZEISR,1
CZEITA,1
CZEJPN,1
CZEKOR,1
IRQPER,3
IRQPOL,3
CZEMEX,1
IRQPRT,3
CZENGA,1
CZENLD,1
CZENOR,1
CZENZL,1
IRQSVK,3
CZEPER,1
IRQSWE,3
CZEPOL,1
CZEPRT,1
IRQUKR,3
IRQUSA,3
IRQZAF,3
LBYARG,3
CZESVK,1
CZESWE,1
LBYAUS,3
LBYAUT,3
CZEUKR,1
CZEUSA,1
LBYBEL,3
LBYBRA,3
CZEZAF,1
DEUARG,1
DEUAUS,1
DEUAUT,1
DEUBEL,1
LBYCAN,3
DEUBRA,1
DEUCAN,1
DEUCHE,1
DEUCHL,1
LBYCHE,3
DEUCOL,1
DEUCZE,1
DEUDEU,1
DEUDNK,1
DEUDOM,1
LBYCHL,3
DEUECU,1
LBYCOL,3
DEUESP,1
DEUFIN,1
DEUFRA,1
DEUGBR,1
DEUGRC,1
DEUGTM,1
DEUIDN,1
LBYCZE,3
DEUIRL,1
LBYDEU,3
LBYDNK,3
DEUISR,1
DEUITA,1
DEUJPN,1
DEUKOR,1
LBYDOM,3
LBYECU,3
DEUMEX,1
LBYESP,3
DEUNGA,1
DEUNLD,1
DEUNOR,1
DEUNZL,1
LBYFIN,3
DEUPER,1
LBYFRA,3
DEUPOL,1
DEUPRT,1
LBYGBR,3
LBYGRC,3
LBYGTM,3
LBYIDN,3
DEUSVK,1
DEUSWE,1
LBYIRL,3
LBYISR,3
DEUUKR,1
DEUUSA,1
LBYITA,3
LBYJPN,3
DEUZAF,1
DNKARG,1
DNKAUS,1
DNKAUT,1
DNKBEL,1
LBYKOR,3
DNKBRA,1
DNKCAN,1
DNKCHE,1
DNKCHL,1
LBYMEX,3
DNKCOL,1
DNKCZE,1
DNKDEU,1
DNKDNK,1
DNKDOM,1
LBYNGA,3
DNKECU,1
LBYNLD,3
DNKESP,1
DNKFIN,1
DNKFRA,1
DNKGBR,1
DNKGRC,1
DNKGTM,1
DNKIDN,1
LBYNOR,3
DNKIRL,1
LBYNZL,3
LBYPER,3
DNKISR,1
DNKITA,1
DNKJPN,1
DNKKOR,1
LBYPOL,3
LBYPRT,3
DNKMEX,1
LBYSVK,3
DNKNGA,1
DNKNLD,1
DNKNOR,1
DNKNZL,1
LBYSWE,3
DNKPER,1
LBYUKR,3
DNKPOL,1
DNKPRT,1
LBYUSA,3
LBYZAF,3
MARARG,3
MARAUS,3
DNKSVK,1
DNKSWE,1
MARAUT,3
MARBEL,3
DNKUKR,1
DNKUSA,1
MARBRA,3
MARCAN,3
DNKZAF,1
DOMARG,1
DOMAUS,1
DOMAUT,1
DOMBEL,1
MARCHE,3
DOMBRA,1
DOMCAN,1
DOMCHE,1
DOMCHL,1
MARCHL,3
DOMCOL,1
DOMCZE,1
DOMDEU,1
DOMDNK,1
DOMDOM,1
MARCOL,3
DOMECU,1
MARCZE,3
DOMESP,1
DOMFIN,1
DOMFRA,1
DOMGBR,1
DOMGRC,1
DOMGTM,1
DOMIDN,1
MARDEU,3
DOMIRL,1
MARDNK,3
MARDOM,3
DOMISR,1
DOMITA,1
DOMJPN,1
DOMKOR,1
MARECU,3
MARESP,3
DOMMEX,1
MARFIN,3
DOMNGA,1
DOMNLD,1
DOMNOR,1
DOMNZL,1
MARFRA,3
DOMPER,1
MARGBR,3
DOMPOL,1
DOMPRT,1
MARGRC,3
MARGTM,3
MARIDN,3
MARIRL,3
DOMSVK,1
DOMSWE,1
MARISR,3
MARITA,3
DOMUKR,1
DOMUSA,1
MARJPN,3
MARKOR,3
DOMZAF,1
MARMEX,3
MARNGA,3
MARNLD,3
MARNOR,3
DZABGD,4
MARNZL,3
MARPER,3
MARPOL,3
MARPRT,3
DZACHN,4
MARSVK,3
MARSWE,3
MARUKR,3
MARUSA,3
MARZAF,3
DZADZA,4
MYSARG,3
DZAEGY,4
MYSAUS,3
MYSAUT,3
MYSBEL,3
MYSBRA,3
MYSCAN,3
MYSCHE,3
MYSCHL,3
DZAIND,4
MYSCOL,3
DZAIRN,4
DZAIRQ,4
MYSCZE,3
MYSDEU,3
MYSDNK,3
MYSDOM,3
DZALBY,4
DZAMAR,4
MYSECU,3
DZAMYS,4
MYSESP,3
MYSFIN,3
MYSFRA,3
MYSGBR,3
DZAPAK,4
MYSGRC,3
DZAPHL,4
MYSGTM,3
MYSIDN,3
DZARUS,4
DZASAU,4
DZASDN,4
DZASGP,4
MYSIRL,3
MYSISR,3
DZATHA,4
DZATUR,4
MYSITA,3
MYSJPN,3
DZAVEN,4
DZAVNM,4
MYSKOR,3
ECUARG,1
ECUAUS,1
ECUAUT,1
ECUBEL,1
MYSMEX,3
ECUBRA,1
ECUCAN,1
ECUCHE,1
ECUCHL,1
MYSNGA,3
ECUCOL,1
ECUCZE,1
ECUDEU,1
ECUDNK,1
ECUDOM,1
