Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
WITCH-GLOBIOM,SSP1-26,R5.2ASIA,Primary Energy|Gas,EJ/yr,17.343,20.992,24.641,20.868,17.095,16.772,16.450,16.117,15.784,15.027,14.270,13.087,11.905,10.538,9.172,7.798,6.424,5.501,4.577
WITCH-GLOBIOM,SSP2-45,R5.2ASIA,Primary Energy|Gas,EJ/yr,17.343,22.993,28.644,31.418,34.192,36.799,39.407,39.265,39.124,38.961,38.798,39.069,39.340,39.362,39.385,39.741,40.096,39.786,39.476
WITCH-GLOBIOM,SSP3-Baseline,R5.2ASIA,Primary Energy|Gas,EJ/yr,17.343,24.964,32.586,37.531,42.476,44.125,45.774,46.678,47.582,47.507,47.432,47.537,47.642,47.077,46.512,45.735,44.957,44.179,43.400
WITCH-GLOBIOM,SSP4-34,R5.2ASIA,Primary Energy|Gas,EJ/yr,17.343,21.648,25.954,26.735,27.517,29.790,32.062,29.511,26.960,25.121,23.282,21.260,19.237,17.540,15.844,14.818,13.792,12.918,12.044
WITCH-GLOBIOM,SSP4-60,R5.2ASIA,Primary Energy|Gas,EJ/yr,17.343,21.825,26.308,29.784,33.259,34.764,36.269,38.033,39.796,40.567,41.338,41.118,40.898,38.562,36.226,34.376,32.526,30.978,29.430
WITCH-GLOBIOM,SSP5-34,R5.2ASIA,Primary Energy|Gas,EJ/yr,17.343,22.109,26.876,24.893,22.910,24.772,26.634,29.282,31.930,32.186,32.441,32.309,32.177,30.062,27.947,24.979,22.011,18.729,15.447
WITCH-GLOBIOM,SSP5-Baseline,R5.2ASIA,Primary Energy|Gas,EJ/yr,17.343,23.128,28.913,37.627,46.341,56.098,65.855,73.658,81.461,85.100,88.739,87.494,86.250,80.640,75.030,69.713,64.396,57.996,51.596
AIM/CGE,SSP1-19,R5.2LAM,Primary Energy|Gas,EJ/yr,6.312,6.615,6.917,5.971,5.024,4.126,3.228,2.955,2.682,2.129,1.575,1.362,1.148,1.002,0.856,0.827,0.799,0.728,0.656
AIM/CGE,SSP1-26,R5.2LAM,Primary Energy|Gas,EJ/yr,6.313,6.615,6.917,6.725,6.533,5.724,4.916,4.625,4.334,4.160,3.986,3.703,3.420,3.304,3.188,2.998,2.808,2.709,2.611
AIM/CGE,SSP2-45,R5.2LAM,Primary Energy|Gas,EJ/yr,6.489,7.112,7.734,8.019,8.303,8.550,8.797,8.769,8.741,8.428,8.115,8.113,8.112,8.331,8.549,8.836,9.124,9.480,9.837
AIM/CGE,SSP3-Baseline,R5.2LAM,Primary Energy|Gas,EJ/yr,6.796,7.985,9.173,10.714,12.255,13.653,15.051,16.317,17.583,18.858,20.134,21.488,22.843,24.323,25.802,26.992,28.181,28.538,28.896
AIM/CGE,SSP4-34,R5.2LAM,Primary Energy|Gas,EJ/yr,6.410,6.928,7.446,7.501,7.556,7.278,7.000,6.649,6.298,5.981,5.664,5.536,5.408,5.297,5.185,5.059,4.933,4.880,4.827
AIM/CGE,SSP5-34,R5.2LAM,Primary Energy|Gas,EJ/yr,6.475,7.012,7.549,7.873,8.196,8.411,8.626,9.163,9.701,9.953,10.205,10.265,10.325,10.354,10.382,10.342,10.301,10.231,10.162
AIM/CGE,SSP5-Baseline,R5.2LAM,Primary Energy|Gas,EJ/yr,6.499,7.080,7.661,8.536,9.410,10.474,11.538,12.280,13.022,13.739,14.455,14.906,15.357,15.817,16.277,16.776,17.274,18.461,19.647
GCAM4,SSP1-19,R5.2LAM,Primary Energy|Gas,EJ/yr,7.841,9.264,10.686,12.472,14.258,15.628,16.999,17.019,17.040,16.129,15.218,13.716,12.214,10.528,8.843,7.173,5.504,4.596,3.688
GCAM4,SSP1-26,R5.2LAM,Primary Energy|Gas,EJ/yr,7.841,9.265,10.689,13.176,15.663,17.493,19.323,20.038,20.754,20.160,19.566,17.722,15.877,13.907,11.937,10.275,8.614,7.168,5.723
GCAM4,SSP2-45,R5.2LAM,Primary Energy|Gas,EJ/yr,7.841,9.652,11.463,14.969,18.474,20.519,22.564,24.071,25.578,26.103,26.627,25.980,25.332,24.705,24.077,24.104,24.132,23.833,23.534
GCAM4,SSP3-Baseline,R5.2LAM,Primary Energy|Gas,EJ/yr,7.841,10.205,12.569,15.661,18.754,20.772,22.790,24.022,25.255,25.388,25.520,24.779,24.037,23.400,22.764,22.173,21.583,21.202,20.821
GCAM4,SSP4-34,R5.2LAM,Primary Energy|Gas,EJ/yr,7.841,9.534,11.227,13.652,16.076,17.743,19.410,20.089,20.768,20.678,20.589,19.677,18.766,17.518,16.269,14.761,13.253,11.367,9.482
GCAM4,SSP4-60,R5.2LAM,Primary Energy|Gas,EJ/yr,7.841,9.534,11.227,14.507,17.787,19.925,22.062,23.377,24.692,25.222,25.753,25.375,24.996,24.453,23.909,23.424,22.938,22.463,21.988
GCAM4,SSP5-34,R5.2LAM,Primary Energy|Gas,EJ/yr,7.841,9.785,11.729,16.405,21.081,24.209,27.336,29.986,32.636,33.574,34.512,34.174,33.837,33.320,32.803,33.391,33.979,30.565,27.151
GCAM4,SSP5-Baseline,R5.2LAM,Primary Energy|Gas,EJ/yr,7.841,10.265,12.688,17.076,21.464,25.999,30.534,33.869,37.205,39.010,40.815,41.619,42.424,42.399,42.374,40.926,39.477,39.001,38.525
IMAGE,SSP1-19,R5.2LAM,Primary Energy|Gas,EJ/yr,6.785,7.397,8.009,8.447,8.885,10.478,12.071,11.747,11.424,10.834,10.245,9.949,9.654,8.711,7.769,6.707,5.644,4.261,2.879
IMAGE,SSP1-26,R5.2LAM,Primary Energy|Gas,EJ/yr,6.785,8.660,10.535,12.099,13.664,14.263,14.862,14.549,14.235,13.942,13.650,12.549,11.449,10.279,9.109,8.507,7.905,7.352,6.800
IMAGE,SSP2-45,R5.2LAM,Primary Energy|Gas,EJ/yr,6.778,8.952,11.126,12.796,14.466,15.629,16.792,17.389,17.987,18.332,18.677,18.610,18.544,17.262,15.980,14.729,13.477,13.161,12.845
IMAGE,SSP3-Baseline,R5.2LAM,Primary Energy|Gas,EJ/yr,6.754,9.256,11.758,12.751,13.743,16.012,18.281,19.276,20.270,21.031,21.792,22.323,22.854,23.183,23.512,24.120,24.728,25.248,25.768
IMAGE,SSP4-34,R5.2LAM,Primary Energy|Gas,EJ/yr,6.766,8.708,10.650,11.926,13.202,13.593,13.983,13.775,13.566,12.617,11.667,10.824,9.982,8.933,7.885,7.139,6.394,5.960,5.527
IMAGE,SSP4-60,R5.2LAM,Primary Energy|Gas,EJ/yr,6.764,8.959,11.155,13.649,16.144,17.635,19.126,20.317,21.507,22.492,23.476,22.439,21.401,20.596,19.792,19.385,18.978,18.934,18.890
IMAGE,SSP5-34,R5.2LAM,Primary Energy|Gas,EJ/yr,6.849,8.909,10.969,14.224,17.478,19.342,21.205,20.180,19.155,17.654,16.153,15.089,14.025,12.415,10.806,9.834,8.862,7.964,7.066
IMAGE,SSP5-Baseline,R5.2LAM,Primary Energy|Gas,EJ/yr,6.848,9.413,11.978,16.033,20.088,23.228,26.367,27.949,29.531,30.074,30.617,28.926,27.236,24.717,22.197,21.083,19.969,17.630,15.291
