Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
REMIND-MAGPIE,SSP1-26,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1551.712,1676.181,1800.651,1903.053,2005.454,2072.247,2139.040,2120.553,2102.067,2067.880,2033.694,1969.385,1905.076,1865.520,1825.963,1809.204,1792.445,1740.905,1689.366
REMIND-MAGPIE,SSP2-45,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1599.631,1703.728,1807.825,1916.250,2024.676,2105.697,2186.719,2231.346,2275.973,2309.972,2343.970,2375.579,2407.188,2421.077,2434.966,2418.038,2401.110,2415.082,2429.054
REMIND-MAGPIE,SSP5-34,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1544.634,1677.913,1811.192,1947.563,2083.933,2200.378,2316.823,2409.651,2502.479,2518.710,2534.942,2524.672,2514.403,2468.367,2422.332,2324.400,2226.467,2154.913,2083.358
REMIND-MAGPIE,SSP5-Baseline,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1545.545,1671.687,1797.828,1901.380,2004.932,2086.243,2167.554,2225.256,2282.959,2334.344,2385.730,2433.527,2481.325,2495.636,2509.947,2488.481,2467.016,2430.620,2394.224
AIM/CGE,SSP1-19,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,406.776,432.181,457.586,470.944,484.303,497.847,511.391,513.967,516.542,509.858,503.174,492.107,481.041,465.354,449.667,431.511,413.356,392.024,370.692
AIM/CGE,SSP1-26,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,406.773,432.171,457.569,474.827,492.086,506.254,520.423,527.948,535.474,533.585,531.697,520.318,508.939,495.109,481.278,462.698,444.118,422.700,401.282
AIM/CGE,SSP2-45,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,406.899,435.944,464.988,490.859,516.730,540.257,563.783,580.280,596.777,605.783,614.789,619.012,623.234,623.385,623.536,620.105,616.673,610.610,604.546
AIM/CGE,SSP3-Baseline,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,408.026,442.703,477.380,512.503,547.626,581.898,616.169,648.217,680.264,710.558,740.851,770.190,799.530,830.356,861.182,894.369,927.557,964.351,1001.146
AIM/CGE,SSP4-34,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,407.663,436.349,465.034,488.340,511.646,530.672,549.698,561.084,572.470,576.965,581.461,580.023,578.585,572.961,567.338,559.048,550.758,541.676,532.593
AIM/CGE,SSP5-34,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,406.991,431.565,456.139,473.382,490.626,508.405,526.184,536.836,547.488,550.024,552.560,549.247,545.934,534.982,524.031,509.021,494.010,475.727,457.443
AIM/CGE,SSP5-Baseline,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,406.976,431.593,456.211,477.173,498.135,518.151,538.167,549.004,559.841,562.257,564.673,559.789,554.906,544.777,534.649,519.245,503.840,483.809,463.778
GCAM4,SSP1-19,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,620.997,618.261,615.525,550.287,485.050,477.128,469.206,474.402,479.597,479.991,480.385,474.912,469.438,457.838,446.237,427.702,409.167,385.492,361.816
GCAM4,SSP1-26,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,620.997,620.939,620.881,583.189,545.498,525.127,504.756,499.444,494.131,491.649,489.166,482.870,476.575,467.199,457.823,443.061,428.299,407.167,386.035
GCAM4,SSP2-45,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,620.997,628.958,636.919,678.513,720.106,733.771,747.435,732.071,716.706,698.544,680.381,683.345,686.310,692.780,699.250,700.592,701.935,698.753,695.572
GCAM4,SSP3-Baseline,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,620.997,631.644,642.291,693.342,744.393,801.541,858.689,918.949,979.210,1035.094,1090.978,1152.595,1214.212,1283.624,1353.037,1418.363,1483.690,1552.706,1621.723
GCAM4,SSP4-34,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,620.997,635.391,649.785,623.091,596.396,573.749,551.102,528.939,506.777,494.658,482.538,469.252,455.967,443.997,432.028,417.642,403.255,385.639,368.022
GCAM4,SSP4-60,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,620.997,635.391,649.785,681.133,712.480,741.283,770.086,775.042,779.998,769.968,759.938,734.800,709.663,678.705,647.747,615.325,582.903,555.847,528.791
GCAM4,SSP5-34,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,620.997,626.484,631.970,666.270,700.570,665.788,631.006,611.757,592.508,594.065,595.622,597.434,599.246,597.021,594.796,581.775,568.755,547.854,526.953
GCAM4,SSP5-Baseline,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,620.997,626.578,632.158,666.099,700.040,740.907,781.775,814.198,846.621,857.494,868.368,869.318,870.269,864.708,859.147,840.804,822.460,794.510,766.559
IMAGE,SSP1-19,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,520.514,554.233,587.953,686.981,786.009,752.972,719.935,732.100,744.265,749.807,755.349,761.049,766.749,772.453,778.157,783.876,789.595,795.328,801.062
IMAGE,SSP1-26,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,520.514,554.854,589.194,635.976,682.759,754.536,826.314,795.937,765.560,763.739,761.917,767.486,773.056,777.704,782.351,788.211,794.070,802.240,810.410
IMAGE,SSP2-45,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,520.871,576.398,631.926,681.105,730.284,865.072,999.859,948.187,896.516,892.002,887.489,901.935,916.382,930.922,945.462,959.230,972.998,986.931,1000.864
IMAGE,SSP3-Baseline,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,520.684,592.117,663.551,721.421,779.291,843.450,907.609,942.116,976.623,978.163,979.702,992.479,1005.256,1019.903,1034.551,1053.975,1073.399,1090.585,1107.771
IMAGE,SSP4-34,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,520.999,573.907,626.815,667.846,708.878,832.778,956.678,883.344,810.011,808.632,807.252,818.145,829.039,839.402,849.766,860.203,870.640,882.195,893.751
IMAGE,SSP4-60,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,520.991,574.919,628.847,675.544,722.240,879.071,1035.902,937.497,839.092,831.738,824.384,834.529,844.674,855.550,866.427,875.558,884.690,894.626,904.562
IMAGE,SSP5-34,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,521.346,588.723,656.099,759.382,862.665,970.273,1077.881,1086.589,1095.297,1091.620,1087.942,1103.832,1119.722,1156.234,1192.745,1201.751,1210.757,1221.252,1231.747
IMAGE,SSP5-Baseline,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,521.341,590.646,659.952,734.277,808.602,972.918,1137.234,1148.530,1159.826,1152.193,1144.561,1162.032,1179.504,1213.630,1247.756,1273.481,1299.205,1322.282,1345.358
MESSAGE-GLOBIOM,SSP1-19,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,443.070,464.694,486.319,502.744,519.169,529.437,539.705,540.354,541.004,529.282,517.560,501.871,486.182,470.133,454.084,440.033,425.982,413.111,400.239
MESSAGE-GLOBIOM,SSP1-26,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,443.070,465.182,487.295,502.647,518.000,527.091,536.182,534.907,533.632,524.780,515.928,498.228,480.527,456.219,431.911,416.005,400.100,379.560,359.020
MESSAGE-GLOBIOM,SSP2-45,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,443.070,480.849,518.629,560.816,603.004,636.103,669.202,688.458,707.714,716.177,724.640,724.402,724.165,720.906,717.647,704.637,691.627,676.183,660.740
MESSAGE-GLOBIOM,SSP3-Baseline,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,443.070,478.995,514.919,552.484,590.048,625.615,661.182,688.652,716.122,735.166,754.210,769.850,785.490,804.960,824.431,840.845,857.260,873.123,888.986
REMIND-MAGPIE,SSP1-19,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,504.606,587.172,669.738,647.742,625.747,601.468,577.188,539.237,501.285,492.657,484.029,488.350,492.670,516.824,540.977,517.679,494.382,566.708,639.035
REMIND-MAGPIE,SSP1-26,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,495.588,579.975,664.361,634.793,605.226,590.156,575.087,565.682,556.277,509.311,462.346,448.983,435.619,417.391,399.163,380.766,362.368,355.416,348.464
REMIND-MAGPIE,SSP2-45,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,505.018,624.960,744.902,758.508,772.114,777.637,783.159,793.157,803.154,797.755,792.356,796.800,801.244,791.612,781.980,812.978,843.976,848.756,853.536
REMIND-MAGPIE,SSP5-34,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,504.891,586.763,668.635,645.539,622.442,587.939,553.435,557.183,560.931,553.165,545.400,564.116,582.832,600.197,617.563,696.194,774.825,740.005,705.185
REMIND-MAGPIE,SSP5-Baseline,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,499.169,590.195,681.222,661.285,641.348,650.814,660.280,681.775,703.271,692.528,681.784,696.711,711.638,724.654,737.669,747.041,756.414,752.319,748.223
AIM/CGE,SSP1-19,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,359.743,411.726,463.708,520.771,577.834,634.597,691.360,746.511,801.662,847.992,894.321,929.883,965.445,987.257,1009.068,1017.591,1026.113,1020.624,1015.135
AIM/CGE,SSP1-26,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,359.742,411.721,463.700,520.630,577.560,635.073,692.587,748.746,804.904,852.803,900.701,936.426,972.151,994.176,1016.202,1023.937,1031.671,1026.053,1020.436
AIM/CGE,SSP2-45,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,360.216,417.314,474.412,539.058,603.703,673.849,743.994,820.384,896.774,971.127,1045.480,1115.890,1186.301,1250.139,1313.976,1367.969,1421.962,1465.109,1508.257
AIM/CGE,SSP3-Baseline,R5.2MAF,Agricultural Production|Crops|Non-Energy,million t DM/yr,360.890,422.807,484.723,559.503,634.283,717.387,800.491,893.230,985.970,1083.468,1180.966,1281.647,1382.329,1484.249,1586.169,1686.770,1787.372,1884.648,1981.924
