Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
WITCH-GLOBIOM,SSP1-26,R5.2ASIA,Primary Energy|Oil,EJ/yr,49.415,60.332,71.248,65.706,60.164,60.563,60.962,60.507,60.051,57.992,55.933,53.197,50.461,46.982,43.502,34.819,26.136,13.312,0.489
WITCH-GLOBIOM,SSP2-45,R5.2ASIA,Primary Energy|Oil,EJ/yr,49.415,65.368,81.321,91.531,101.740,108.976,116.211,118.915,121.620,122.114,122.609,122.010,121.411,118.017,114.624,108.375,102.126,96.397,90.667
WITCH-GLOBIOM,SSP3-Baseline,R5.2ASIA,Primary Energy|Oil,EJ/yr,49.415,66.299,83.184,92.753,102.321,105.160,107.999,107.962,107.925,107.544,107.163,107.213,107.262,105.932,104.602,104.297,103.992,104.157,104.322
WITCH-GLOBIOM,SSP4-34,R5.2ASIA,Primary Energy|Oil,EJ/yr,49.415,64.935,80.455,88.692,96.929,99.688,102.447,101.451,100.455,98.919,97.383,97.318,97.253,93.773,90.293,80.316,70.340,52.806,35.273
WITCH-GLOBIOM,SSP4-60,R5.2ASIA,Primary Energy|Oil,EJ/yr,49.415,63.196,76.977,86.644,96.312,100.030,103.749,106.336,108.924,109.313,109.702,108.563,107.424,104.157,100.890,94.015,87.139,75.126,63.113
WITCH-GLOBIOM,SSP5-34,R5.2ASIA,Primary Energy|Oil,EJ/yr,49.415,60.072,70.730,65.756,60.783,66.706,72.630,78.702,84.774,90.066,95.357,96.853,98.350,99.233,100.117,95.196,90.275,69.798,49.321
WITCH-GLOBIOM,SSP5-Baseline,R5.2ASIA,Primary Energy|Oil,EJ/yr,49.415,62.542,75.669,90.700,105.731,120.025,134.320,143.525,152.731,156.227,159.724,161.248,162.772,161.927,161.081,159.851,158.620,152.807,146.995
AIM/CGE,SSP1-19,R5.2LAM,Primary Energy|Oil,EJ/yr,12.902,13.073,13.244,11.478,9.712,8.258,6.804,5.783,4.761,3.605,2.450,2.047,1.644,1.415,1.185,1.126,1.066,0.968,0.869
AIM/CGE,SSP1-26,R5.2LAM,Primary Energy|Oil,EJ/yr,12.901,13.073,13.245,12.950,12.655,11.543,10.432,9.944,9.457,8.774,8.092,7.021,5.950,5.512,5.075,4.584,4.094,3.847,3.601
AIM/CGE,SSP2-45,R5.2LAM,Primary Energy|Oil,EJ/yr,13.534,14.599,15.664,16.590,17.516,18.322,19.128,19.474,19.821,19.409,18.997,18.824,18.650,18.764,18.878,18.982,19.086,19.254,19.422
