Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IMAGE,SSP2-Baseline,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14492.180,19643.849,27389.956,35136.062,43047.531,50959.000,59048.807,67138.615,73625.825,80113.034,86738.232,93363.429,99981.503,106599.578,113227.613,119855.648,126642.636,133429.625
IMAGE,SSP3-34,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14492.355,19644.199,26144.086,32643.972,37386.875,42129.777,45876.537,49623.297,51584.294,53545.291,55538.386,57531.481,59614.314,61697.147,63887.768,66078.390,68618.323,71158.256
IMAGE,SSP3-45,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14492.355,19644.199,26144.086,32643.972,37386.875,42129.777,45876.537,49623.297,51584.294,53545.291,55538.386,57531.481,59614.314,61697.147,63887.768,66078.390,68618.323,71158.256
IMAGE,SSP3-60,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14492.355,19644.199,26144.086,32643.972,37386.875,42129.777,45876.537,49623.297,51584.294,53545.291,55538.386,57531.481,59614.314,61697.147,63887.768,66078.390,68618.323,71158.256
IMAGE,SSP3-Baseline,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14492.355,19644.199,26144.086,32643.972,37386.875,42129.777,45876.537,49623.297,51584.294,53545.291,55538.386,57531.481,59614.314,61697.147,63887.768,66078.390,68618.323,71158.256
IMAGE,SSP4-26,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14669.243,19997.976,27755.897,35513.819,43108.635,50703.451,57526.681,64349.912,68372.545,72395.179,75345.875,78296.571,80096.266,81895.961,82977.408,84058.854,84767.889,85476.924
IMAGE,SSP4-34,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14669.243,19997.976,27755.897,35513.819,43108.635,50703.451,57526.681,64349.912,68372.545,72395.179,75345.875,78296.571,80096.266,81895.961,82977.408,84058.854,84767.889,85476.924
IMAGE,SSP4-45,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14669.243,19997.976,27755.897,35513.819,43108.635,50703.451,57526.681,64349.912,68372.545,72395.179,75345.875,78296.571,80096.266,81895.961,82977.408,84058.854,84767.889,85476.924
IMAGE,SSP4-60,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14669.243,19997.976,27755.897,35513.819,43108.635,50703.451,57526.681,64349.912,68372.545,72395.179,75345.875,78296.571,80096.266,81895.961,82977.408,84058.854,84767.889,85476.924
IMAGE,SSP4-Baseline,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14669.243,19997.976,27755.897,35513.819,43108.635,50703.451,57526.681,64349.912,68372.545,72395.179,75345.875,78296.571,80096.266,81895.961,82977.408,84058.854,84767.889,85476.924
IMAGE,SSP5-34,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14851.213,20361.915,32331.862,44301.810,61371.959,78442.108,96231.535,114020.963,128206.100,142391.236,155544.341,168697.446,180277.419,191857.393,202274.606,212691.818,221654.329,230616.840
IMAGE,SSP5-45,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14851.213,20361.915,32331.862,44301.810,61371.959,78442.108,96231.535,114020.963,128206.100,142391.236,155544.341,168697.446,180277.419,191857.393,202274.606,212691.818,221654.329,230616.840
IMAGE,SSP5-60,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14851.213,20361.915,32331.862,44301.810,61371.959,78442.108,96231.535,114020.963,128206.100,142391.236,155544.341,168697.446,180277.419,191857.393,202274.606,212691.818,221654.329,230616.840
IMAGE,SSP5-Baseline,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14851.213,20361.915,32331.862,44301.810,61371.959,78442.108,96231.535,114020.963,128206.100,142391.236,155544.341,168697.446,180277.419,191857.393,202274.606,212691.818,221654.329,230616.840
MESSAGE-GLOBIOM,SSP1-19,R5.2ASIA,Consumption,billion US$2005/yr,4284.450,8631.475,12978.500,21968.100,30957.700,45435.850,59914.000,76860.500,93807.000,110020.000,126233.000,141179.000,156125.000,167981.000,179837.000,188536.000,197235.000,203742.500,210250.000
