Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE,SSP3-Baseline,R5.2LAM,Primary Energy|Coal,EJ/yr,1.542,1.884,2.225,2.682,3.139,3.543,3.947,4.353,4.759,5.317,5.876,6.602,7.328,8.23,9.132,9.931,10.729,11.81,12.89
AIM/CGE,SSP4-34,R5.2LAM,Primary Energy|Coal,EJ/yr,1.412,1.52,1.629,1.537,1.445,1.323,1.201,1.129,1.056,1.001,0.946,0.951,0.957,0.977,0.996,0.998,0.999,1.004,1.009
AIM/CGE,SSP5-34,R5.2LAM,Primary Energy|Coal,EJ/yr,1.444,1.564,1.685,1.494,1.304,1.266,1.229,1.387,1.545,1.68,1.814,1.862,1.91,1.96,2.01,2.066,2.123,2.191,2.26
AIM/CGE,SSP5-Baseline,R5.2LAM,Primary Energy|Coal,EJ/yr,1.458,1.61,1.763,2,2.237,2.527,2.817,3.057,3.298,3.703,4.109,4.488,4.866,5.355,5.843,6.419,6.996,8.264,9.532
GCAM4,SSP1-19,R5.2LAM,Primary Energy|Coal,EJ/yr,1.448,1.711,1.974,1.969,1.964,1.704,1.444,1.198,0.952,0.861,0.769,0.605,0.441,0.312,0.182,0.121,0.06,0.039,0.018
GCAM4,SSP1-26,R5.2LAM,Primary Energy|Coal,EJ/yr,1.448,1.709,1.97,2.365,2.761,2.779,2.798,2.464,2.129,1.66,1.192,0.949,0.707,0.551,0.394,0.279,0.164,0.11,0.056
GCAM4,SSP2-45,R5.2LAM,Primary Energy|Coal,EJ/yr,1.448,1.815,2.182,3.432,4.681,5.215,5.748,5.656,5.563,5.261,4.959,4.531,4.104,4.11,4.117,4.232,4.347,4.368,4.389
GCAM4,SSP3-Baseline,R5.2LAM,Primary Energy|Coal,EJ/yr,1.448,2.563,3.678,6.223,8.768,10.847,12.925,14.928,16.93,20.051,23.171,25.744,28.316,30.706,33.095,35.726,38.356,41.417,44.478
GCAM4,SSP4-34,R5.2LAM,Primary Energy|Coal,EJ/yr,1.448,1.783,2.118,2.56,3.002,3.169,3.336,3.262,3.188,3.371,3.555,3.626,3.698,3.587,3.475,2.995,2.516,1.78,1.044
GCAM4,SSP4-60,R5.2LAM,Primary Energy|Coal,EJ/yr,1.448,1.783,2.118,3.74,5.361,6.195,7.029,7.538,8.048,8.616,9.184,9.111,9.037,8.396,7.755,6.863,5.97,4.999,4.027
GCAM4,SSP5-34,R5.2LAM,Primary Energy|Coal,EJ/yr,1.448,1.82,2.192,3.73,5.267,5.787,6.307,5.964,5.621,5.902,6.182,6.497,6.811,6.835,6.86,7.059,7.259,7.029,6.798
GCAM4,SSP5-Baseline,R5.2LAM,Primary Energy|Coal,EJ/yr,1.448,2.471,3.495,6.19,8.885,11.609,14.334,16.501,18.668,20.78,22.892,23.695,24.498,24.507,24.516,24.524,24.531,23.788,23.044
IMAGE,SSP1-19,R5.2LAM,Primary Energy|Coal,EJ/yr,1.483,1.948,2.413,1.57,0.728,0.763,0.798,0.722,0.647,0.662,0.677,0.665,0.652,0.595,0.538,0.455,0.371,0.28,0.188
IMAGE,SSP1-26,R5.2LAM,Primary Energy|Coal,EJ/yr,1.483,2.417,3.351,3.46,3.569,3.056,2.544,2.131,1.719,1.705,1.692,1.681,1.67,1.54,1.409,1.377,1.345,1.155,0.965
IMAGE,SSP2-45,R5.2LAM,Primary Energy|Coal,EJ/yr,1.512,2.74,3.968,4.645,5.323,5.156,4.989,4.719,4.448,4.371,4.293,4.398,4.503,4.372,4.242,4.663,5.084,6.828,8.571
IMAGE,SSP3-Baseline,R5.2LAM,Primary Energy|Coal,EJ/yr,1.525,3.227,4.93,7.468,10.006,12.077,14.149,16.485,18.822,21.096,23.37,25.848,28.326,30.866,33.407,36.006,38.606,41.376,44.146
IMAGE,SSP4-34,R5.2LAM,Primary Energy|Coal,EJ/yr,1.491,2.383,3.276,3.433,3.59,3.195,2.801,2.035,1.269,1.159,1.05,0.913,0.776,1.099,1.423,2.263,3.103,3.488,3.873
IMAGE,SSP4-60,R5.2LAM,Primary Energy|Coal,EJ/yr,1.484,2.485,3.486,3.863,4.239,4.534,4.828,5.121,5.414,5.881,6.348,6.867,7.386,7.615,7.845,7.916,7.987,7.965,7.943
IMAGE,SSP5-34,R5.2LAM,Primary Energy|Coal,EJ/yr,1.519,2.669,3.818,4.227,4.636,4.613,4.59,4.37,4.149,6.346,8.543,11.95,15.358,17.436,19.515,22.034,24.553,24.799,25.046
